Index,Top 100 Vocabularies,Class Belongs To
1,wolverine,7
2,nhl,11
3,sabretooth,7
4,pitcher,10
5,liefeld,7
6,leafs,11
7,stephanopoulos,19
8,athos,16
9,nyr,11
10,bruins,11
11,candida,14
12,ripem,12
13,ahl,11
14,islanders,11
15,punisher,7
16,lindros,11
17,iisi,5
18,alomar,10
19,goalie,11
20,lciii,5
21,fuhr,11
22,oilers,11
23,gilmour,11
24,xdm,6
25,args,6
26,rbi,10
27,keown,7
28,biker,9
29,clh,16
30,rayshade,2
31,ndet,6
32,canucks,11
33,mcfarlane,7
34,crypt,12
35,countersteering,9
36,potvin,11
37,oname,6
38,hirschbeck,10
39,mattingly,10
40,pitches,10
41,istanbul,18
42,denning,12
43,winfield,10
44,clemens,10
45,orbiter,15
46,soderstrom,11
47,recchi,11
48,bmug,5
49,baalke,15
50,gainey,11
51,argic,18
52,pov,2
53,serdar,18
54,israelis,18
55,argv,6
56,rlk,3
57,dodgers,10
58,iivx,5
59,siggraph,2
60,xmu,6
61,azerbaijani,18
62,gaza,18
63,plaintext,12
64,libxmu,6
65,cookson,9
66,radiosity,2
67,fielder,10
68,sdpa,18
69,moncton,11
70,bure,11
71,dyer,14
72,adb,5
73,baerga,10
74,imake,6
75,sumgait,18
76,hiram,7
77,havok,7
78,uccxkvb,7
79,hicnet,14
80,fprintf,6
81,bullpen,10
82,adirondack,11
83,messier,11
84,prb,15
85,nsmca,15
86,baku,18
87,lafontaine,11
88,geico,8
89,nfotis,2
90,motorcycling,9
91,blaine,9
92,vertex,2
93,performa,5
94,whalers,11
95,azeri,18
96,cardinals,10
97,toplevel,6
98,baseman,10
99,sandberg,10
100,karabakh,18
